Area Category,Nama Daerah,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai ,Harga Penawaran (dari Owner),Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW)
Standard,Lontar,60.0,78.0,2.0,2.0,2.0,980000000.0,Belum,,Standard,> 2 Mobil
Below Standard,Petemon,208.0,150.0,3.0,2.0,1.0,1880000000.0,Belum,Utara,,1-2 Mobil
Premium,Citraland,150.0,240.0,5.0,5.0,2.0,3850000000.0,Belum,,,> 2 Mobil
Premium,Citraland,90.0,96.0,3.0,3.0,2.0,2000000000.0,Belum,Utara,,> 2 Mobil
Premium,Darmahusada,320.0,445.0,6.0,4.0,2.0,8500000000.0,Belum,,Standard,1-2 Mobil
Sangat Premium,Citraland,450.0,600.0,6.0,5.0,2.0,14500000000.0,Belum,Utara,Tusuk Sate,> 2 Mobil
Standard,Gayungan,250.0,250.0,4.0,2.0,1.0,4200000000.0,Belum,Barat,,> 2 Mobil
Standard,Manyar,395.0,400.0,7.0,5.0,2.0,4800000000.0,Belum,,Standard,> 2 Mobil
Premium,Gading,100.0,120.0,4.0,4.0,2.0,1800000000.0,Belum,Barat,,> 2 Mobil
Standard,Ciliwung,626.0,350.0,5.0,2.0,2.0,24000000000.0,Belum,Utara,,1-2 Mobil
Below Standard,Sukomanunggal,140.0,140.0,4.0,1.0,1.0,900000000.0,Belum,Selatan,Tikungan/Hook,1-2 Mobil
Below Standard,Bubutan,292.0,222.0,3.0,1.0,1.0,3600000000.0,Belum,Selatan,,> 2 Mobil
Standard,Darmo,500.0,432.0,5.0,4.0,2.0,20000000000.0,Belum,Utara,,> 2 Mobil
Premium,Jambangan,200.0,169.0,5.0,4.0,2.0,1850000000.0,Belum,Selatan,,1-2 Mobil
Below Standard,Ketintang,86.0,62.0,3.0,2.0,1.0,1500000000.0,Belum,Barat,,> 2 Mobil
Sangat Premium,Pakis,972.0,440.0,6.0,5.0,1.0,20000000000.0,Belum,Selatan,,> 2 Mobil
Standard,Kartini,942.0,635.0,8.0,3.0,1.0,25000000000.0,Belum,Utara,Tikungan/Hook,> 2 Mobil
Below Standard,Kemayoran,160.0,180.0,3.0,2.0,2.0,1250000000.0,Belum,Selatan,,1-2 Mobil
Below Standard,Tegalsari,420.0,300.0,4.0,2.0,1.0,10500000000.0,Belum,Timur,Standard,> 2 Mobil
Premium,Karah,144.0,220.0,5.0,3.0,2.0,2600000000.0,Belum,,Standard,1-2 Mobil
Standard,Simokerto,66.0,180.0,4.0,3.0,3.0,2000000000.0,Belum,Selatan,,1-2 Mobil
Standard,Babatan,128.0,170.0,4.0,4.0,2.0,2800000000.0,Belum,Utara,,> 2 Mobil
Premium,Sutorejo,105.0,160.0,4.0,5.0,2.0,2100000000.0,Belum,Selatan,,1-2 Mobil
Premium,Citraland,105.0,89.0,3.0,2.0,2.0,1860000000.0,Belum,,Standard,> 2 Mobil
Premium,Citraland,210.0,325.0,6.0,5.0,2.0,4250000000.0,Belum,Selatan,Standard,> 2 Mobil
Premium,Citraland,180.0,295.0,5.0,4.0,2.0,3750000000.0,Belum,Utara,Standard,> 2 Mobil
Premium,Citraland,436.0,659.0,9.0,5.0,2.0,6500000000.0,Belum,Utara,Standard,> 2 Mobil
Standard,Darmo,190.0,260.0,4.0,4.0,2.0,3900000000.0,Belum,Utara,Standard,
Standard,Baratajaya,127.0,120.0,5.0,3.0,2.5,1985000000.0,Belum,Selatan,Standard,> 2 Mobil
Premium,Citraland,120.0,95.0,3.0,2.0,1.0,1500000000.0,Belum,,Standard,> 2 Mobil
Standard,Wonokromo,280.0,222.0,3.0,1.0,1.0,3500000000.0,Belum,Timur,Standard,> 2 Mobil
Premium,Merr,67.0,100.0,3.0,3.0,2.0,1200000000.0,Belum,Timur,,> 2 Mobil
Premium,Mulyorejo,96.0,135.0,4.0,4.0,2.0,1850000000.0,Belum,Timur,Standard,> 2 Mobil
Premium,Rungkut,60.0,72.0,3.0,2.0,2.0,1080000000.0,Belum,Utara,Standard,1-2 Mobil
Premium,Gayungan,92.0,150.0,4.0,3.0,2.0,2200000000.0,Belum,Selatan,Tikungan/Hook,> 2 Mobil
Standard,Wonocolo,240.0,320.0,9.0,5.0,2.0,2500000000.0,Belum,Selatan,,1-2 Mobil
Sangat Premium,Citraland,240.0,425.0,6.0,6.0,2.5,6100000000.0,Belum,Utara,Standard,
Sangat Premium,Gubeng,1000.0,1000.0,5.0,5.0,3.0,35000000000.0,Belum,Timur,,> 2 Mobil
Premium,Gayungan,123.0,200.0,5.0,5.0,2.0,3100000000.0,Belum,Selatan,Standard,
Standard,Gununganyar,87.0,55.0,2.0,1.0,2.0,725000000.0,Belum,Utara,,1-2 Mobil
Sangat Premium,Darmo,580.0,1100.0,6.0,8.0,2.5,19000000000.0,Belum,Utara,Tikungan/Hook,
Premium,Prapen,165.0,242.0,4.0,3.0,2.0,3500000000.0,Belum,Utara,,1-2 Mobil
Standard,Citraland,180.0,130.0,4.0,3.0,1.0,2600000000.0,Belum,Selatan,Standard,
Standard,Citraland,55.0,56.0,2.0,2.0,2.0,1150000000.0,Belum,Timur,Standard,
Premium,Citraland,188.0,188.0,5.0,7.0,2.0,3300000000.0,Belum,,Standard,> 2 Mobil
Premium,Mulyorejo,210.0,400.0,4.0,4.0,2.5,3800000000.0,Belum,Utara,Tikungan/Hook,> 2 Mobil
Standard,Lakarsantri,77.0,42.0,2.0,1.0,1.0,550000000.0,Belum,Selatan,,1-2 Mobil
Premium,Gununganyar Tambak,112.0,150.0,3.0,3.0,2.0,2450000000.0,Belum,Selatan,,1-2 Mobil
Premium,Klampis Ngasem,132.0,180.0,5.0,4.0,2.0,2400000000.0,Belum,Utara,,> 2 Mobil
Premium,Citraland,210.0,325.0,6.0,5.0,2.0,4250000000.0,Belum,Selatan,,> 2 Mobil
Premium,Gayungan,352.0,300.0,5.0,3.0,1.0,4200000000.0,Belum,Barat,Standard,> 2 Mobil
Standard,Wonocolo,300.0,280.0,6.0,5.0,2.0,3800000000.0,Belum,Utara,,
Premium,Gayungan,320.0,283.0,4.0,5.0,2.0,6400000000.0,Belum,Utara,,> 2 Mobil
Premium,Citraland,240.0,274.0,5.0,4.0,2.0,4700000000.0,Belum,Selatan,Standard,> 2 Mobil
Standard,Rungkut,84.0,120.0,4.0,4.0,2.0,1600000000.0,Belum,Utara,Standard,> 2 Mobil
Premium,Jambangan,594.0,1100.0,6.0,6.0,3.0,12500000000.0,Belum,Timur,,> 2 Mobil
Premium,Mulyorejo,82.0,110.0,3.0,3.0,2.0,1400000000.0,Belum,Timur,,> 2 Mobil
Premium,Manyar,150.0,250.0,5.0,4.0,2.0,3100000000.0,Belum,Selatan,Standard,> 2 Mobil
Sangat Premium,Citraland,450.0,650.0,8.0,5.0,2.0,13900000000.0,Belum,Utara,Cul De Sac/Ujung Gang Buntu,> 2 Mobil
Standard,Semolowaru,136.0,200.0,5.0,2.0,2.0,3000000000.0,Belum,Selatan,Tikungan/Hook,> 2 Mobil
Premium,Pakal,120.0,150.0,5.0,4.0,2.0,1690000000.0,Belum,Selatan,,> 2 Mobil
Standard,Asemrowo,225.0,140.0,4.0,4.0,1.0,2500000000.0,Belum,Selatan,,> 2 Mobil
Standard,Tenggilis Mejoyo,42.0,85.0,3.0,2.0,2.0,850000000.0,Belum,Utara,,1-2 Mobil
Sangat Premium,Gayungan,300.0,500.0,5.0,3.0,2.0,7511111111.0,Belum,Selatan,,> 2 Mobil
Sangat Premium,Wiyung,678.0,528.0,7.0,8.0,2.0,11500000000.0,Belum,Timur,,> 2 Mobil
Standard,Jambangan,96.0,120.0,3.0,2.0,2.0,1700000000.0,Belum,,Standard,> 2 Mobil
Sangat Premium,Dukuh Pakis,450.0,650.0,7.0,5.0,3.0,15000000000.0,Belum,Utara,Standard,> 2 Mobil
Below Standard,Tegalsari,91.0,90.0,2.0,2.0,1.0,700000000.0,Belum,Selatan,,< 1 Mobil
Premium,Citraland,180.0,150.0,3.0,2.0,2.0,2300000000.0,Belum,Barat,,> 2 Mobil
Standard,Sawahan,216.0,246.0,4.0,2.0,2.0,1850000000.0,Belum,Utara,,1-2 Mobil
Standard,Gununganyar,47.0,34.0,2.0,1.0,1.0,450000000.0,Belum,Utara,,> 2 Mobil
Sangat Premium,Sukolilo,300.0,212.0,4.0,4.0,1.0,5250000000.0,Belum,Selatan,,
Premium,Mulyorejo,102.0,156.0,4.0,2.0,2.0,1950000000.0,Belum,Selatan,Standard,1-2 Mobil
Standard,Sukolilo,98.0,170.0,4.0,3.0,2.0,1550000000.0,Belum,,Standard,> 2 Mobil
Below Standard,Teuku Umar,193.0,300.0,5.0,2.0,2.0,5000000000.0,Belum,,Standard,> 2 Mobil
